Id,Full Name,Birth date,Birth Place,Role,Batting Style,Bowling Style,Fielding Style
18619,Wilfred Frederick Frank Price,25-Apr-02,"Westminster, London",NA,Right-hand bat,DNB,Wicketkeeper
22496,Arthur Wood,"August 25, 1898","Fagley, Bradford, Yorkshire",NA,Right-hand bat,DNB,Wicketkeeper
13357,Paul Antony Gibb,11-Jul-13,"Acomb, York",NA,Right-hand bat,DNB,Wicketkeeper
22434,Leonard Litton Wilkinson,5-Nov-16,"Northwich, Cheshire",NA,Right-hand bat,Legbreak,NA
23521,Norman Walter Dransfield Yardley,19-Mar-15,"Gawber, Barnsley, Yorkshire",NA,Right-hand bat,Right-arm medium,NA
18504,Reginald Thomas David Perks,4-Oct-11,Hereford,NA,Left-hand bat,Right-arm fast-medium,NA
10812,William Henry Copson,27-Apr-08,"Stonebroom, Derbyshire",NA,Right-hand bat,Right-arm fast-medium,NA
18255,Norman Oldfield,5-May-11,"Dukinfield, Cheshire",NA,Right-hand bat,DNB,NA
9057,Alec Victor Bedser,4-Jul-18,"Reading, Berkshire",NA,Right-hand bat,Right-arm medium-fast,NA
15381,John Thomas Ikin,7-Mar-18,"Bignall End, Staffordshire",NA,Left-hand bat,Legbreak googly,NA
20213,Thomas Francis Smailes,27-Mar-10,"Ripley, Yorkshire",NA,Left-hand bat,Right-arm medium,NA
18561,Richard Pollard,19-Jun-12,"Westhoughton, Lancashire",NA,Right-hand bat,Right-arm fast-medium,NA
12543,Thomas Godfrey Evans,18-Aug-20,"Finchley, Middlesex",NA,Right-hand bat,Legbreak,Wicketkeeper
20270,Thomas Peter Bromley Smith,30-Oct-08,"Ipswich, Suffolk",NA,Right-hand bat,Legbreak googly,NA
10792,Cecil Cook,23-Aug-21,"Tetbury, Gloucestershire",NA,Right-hand bat,Slow left-arm orthodox,NA
11918,Horace Edgar Dollery,14-Oct-14,"Reading West, Berkshire",NA,Right-hand bat,DNB,Wicketkeeper
16921,John William Martin,16-Feb-17,"Catford, London",NA,Right-hand bat,Right-arm fast,NA
18572,George Henry Pope,27-Jan-11,"Tibshelf, Derbyshire",NA,Right-hand bat,Right-arm fast-medium,NA
10862,Kenneth Cranston,20-Oct-17,"Aigburth, Liverpool, Lancashire",NA,Right-hand bat,Right-arm medium,NA
13381,Clifford Gladwin,3-Apr-16,"Doe Lea, Derbyshire",NA,Right-hand bat,Right-arm fast-medium,NA
9331,Harold James Butler,12-Mar-13,"Clifton, Nottingham",NA,Right-hand bat,Right-arm fast-medium,NA
23534,John Albert Young,14-Oct-12,"Paddington, London",NA,Right-hand bat,Slow left-arm orthodox,NA
14286,Richard Howorth,26-Apr-09,"Bacup, Lancashire",NA,Left-hand bat,Slow left-arm orthodox,NA
19423,John David Benbow Robertson,22-Feb-17,"Chiswick, Middlesex",NA,Right-hand bat,Right-arm offbreak,NA
9239,Dennis Brookes,29-Oct-15,"Kippax, Leeds, Yorkshire",NA,Right-hand bat,Right-arm medium,NA
16172,James Charles Laker,9-Feb-22,"Frizinghall, Bradford, Yorkshire",NA,Right-hand bat,Right-arm offbreak,NA
18548,Winston Place,7-Dec-14,"Rawtenstall, Lancashire",NA,Right-hand bat,DNB,NA
20221,Gerald Arthur Smithson,1-Nov-26,"Spofforth, Yorkshire",NA,Left-hand bat,Right-arm medium,NA
21579,Maurice Fletcher Tremlett,5-Jul-23,"Stockport, Cheshire",NA,Right-hand bat,Right-arm fast-medium,NA
13476,Stewart Cathie Griffith,16-Jun-14,"Wandsworth, London",NA,Right-hand bat,DNB,Wicketkeeper
22288,John Henry Wardle,8-Jan-23,"Ardsley, Yorkshire",NA,Left-hand bat,DNB,NA
10850,Alexander Coxon,18-Jan-16,"Huddersfield, Yorkshire",NA,Right-hand bat,Right-arm medium-fast,NA
10864,John Frederick Crapp,14-Oct-12,"St Columb Major, Cornwall",NA,Left-hand bat,DNB,NA
12517,George Malcolm Emmett,2-Dec-12,"Agra, Uttar Pradesh, India",NA,Right-hand bat,Slow left-arm orthodox,NA
11883,John Gordon Dewes,11-Oct-26,"North Latchford, Cheshire",NA,Left-hand bat,Right-arm medium,NA
22329,Albert John Watkins,21-Apr-22,"Usk, Monmouthshire",NA,Left-hand bat,Left-arm medium-fast,NA
15495,Roland Oliver Jenkins,24-Nov-18,"Rainbow Hill, Worcester",NA,Right-hand bat,Legbreak googly,NA
16891,Francis George Mann,6-Sep-17,"Byfleet, Surrey",NA,Right-hand bat,DNB,NA
20198,Reginald Thomas Simpson,27-Feb-20,"Sherwood Rise, Nottingham",NA,Right-hand bat,Right-arm offbreak,NA
8944,Trevor Edward Bailey,3-Dec-23,"Westcliff-on-Sea, Essex",NA,Right-hand bat,Right-arm fast-medium,NA
22381,Alan Wharton,30-Apr-23,"Heywood, Lancashire",NA,Left-hand bat,Right-arm medium,NA
10754,Dennis Brian Close,24-Feb-31,"Rawdon, Leeds, Yorkshire",NA,Left-hand bat,DNB,Forward short leg
15464,Herbert Leslie Jackson,5-Apr-21,"Whitwell, Derbyshire",NA,Right-hand bat,Right-arm fast,NA
9079,Robert Berry,29-Jan-26,"West Gorton, Manchester, Lancashire",NA,Left-hand bat,Slow left-arm orthodox,NA
11910,George Hubert Graham Doggart,18-Jul-25,NA,NA,Right-hand bat,Right-arm offbreak,NA
18426,William Gilbert Anthony Parkhouse,12-Oct-25,"Swansea, Glamorgan, Wales",NA,Right-hand bat,Right-arm medium,NA
15399,Douglas John Insole,18-Apr-26,"Clapton, London",NA,Right-hand bat,Right-arm medium,Wicketkeeper
20115,Derek Shackleton,12-Aug-24,"Todmorden, Yorkshire",NA,Right-hand bat,Right-arm medium,NA
14213,Malcolm Jameson Hilton,2-Aug-28,"Chadderton, Lancashire",NA,Right-hand bat,Slow left-arm orthodox,NA
16978,Arthur John William McIntyre,14-May-18,"Kennington, London",NA,Right-hand bat,Legbreak,Wicketkeeper
20159,David Stuart Sheppard,6-Mar-29,"Reigate, Surrey",NA,Right-hand bat,Slow left-arm orthodox,NA
22319,John James Warr,16-Jul-27,"Ealing, Middlesex",NA,Right-hand bat,Right-arm fast-medium,NA
21464,Roy Tattersall,17-Aug-22,"Tonge Moor, Bolton, Lancashire",NA,Left-hand bat,Right-arm offbreak,NA
20341,John Brian Statham,17-Jun-30,"Gorton, Manchester, Lancashire",NA,Left-hand bat,Right-arm fast-medium,NA
22340,Willie Watson,7-Mar-20,"Bolton-on-Dearne, Yorkshire",NA,Left-hand bat,DNB,NA
13434,Thomas William Graveney,16-Jun-27,"Riding Mill, Northumberland",NA,Right-hand bat,Legbreak,NA
9210,Donald Vincent Brennan,10-Feb-20,"Eccleshill, Yorkshire",NA,Right-hand bat,DNB,Wicketkeeper
16360,Frank Anderson Lowson,1-Jul-25,"Bradford, Yorkshire",NA,Right-hand bat,Right-arm offbreak,NA
16956,Peter Barker Howard May,31-Dec-29,"The Mount, Reading, Berkshire",NA,Right-hand bat,DNB,NA
10668,Donald Bryce Carr,28-Dec-26,"Wiesbaden, Germany",NA,Right-hand bat,Slow left-arm orthodox,NA
14282,Nigel David Howard,18-May-25,"Gee Cross, Hyde, Cheshire",NA,Right-hand bat,DNB,NA
15866,Donald Kenyon,15-May-24,"Wordsley, Staffordshire",NA,Right-hand bat,Right-arm medium,NA
19405,Frederick Ridgway,10-Aug-23,"Stockport, Cheshire",NA,Right-hand bat,Right-arm fast-medium,NA
20317,Richard Thompson Spooner,30-Dec-19,"Thornaby-on-Tees, Stockton-on-Tees, Co Durham",NA,Left-hand bat,DNB,Wicketkeeper
16235,Edric Leadbeater,15-Aug-27,"Lockwood, Huddersfield, Yorkshire",NA,Right-hand bat,Legbreak googly,NA
18569,Cyril John Poole,13-Mar-21,"Forest Town, Mansfield, Nottinghamshire",NA,Left-hand bat,Left-arm medium,Wicketkeeper
21600,Frederick Sewards Trueman,6-Feb-31,"Stainton, Yorkshire",NA,Right-hand bat,Right-arm fast,NA
16331,Graham Anthony Richard Lock,5-Jul-29,"Limpsfield, Surrey",NA,Right-hand bat,Slow left-arm orthodox,NA
17114,Alan Edward Moss,14-Nov-30,"Tottenham, Middlesex",NA,Right-hand bat,Right-arm fast-medium,NA
18400,Charles Henry Palmer,15-May-19,"Old Hill, Staffordshire",NA,Right-hand bat,DNB,NA
8554,Robert Appleyard,27-Jun-24,"Wibsey, Bradford, Yorkshire",NA,Right-hand bat,Right-arm medium,NA
16961,James Edward McConnon,21-Jun-22,"Burnopfield, Co Durham",NA,Right-hand bat,Right-arm offbreak,NA
18435,James Michael Parks,21-Oct-31,"Haywards Heath, Sussex",NA,Right-hand bat,Legbreak,Wicketkeeper
16324,Peter James Loader,25-Oct-29,"Wallington, Surrey",NA,Right-hand bat,Right-arm fast,NA
21644,Frank Holmes Tyson,6-Jun-30,"Farnworth, Lancashire",NA,Right-hand bat,Right-arm fast,NA
8545,Keith Vincent Andrew,15-Dec-29,"Greenacres, Oldham, Lancashire",NA,Right-hand bat,Legbreak,Wicketkeeper
10846,Michael Colin Cowdrey,24-Dec-32,"Bangalore, India",NA,Right-hand bat,Legbreak,NA
9014,Kenneth Frank Barrington,24-Nov-30,"Reading, Berkshire",NA,Right-hand bat,Legbreak,NA
21548,Frederick John Titmus,24-Nov-32,"Kentish Town, London",NA,Right-hand bat,Right-arm offbreak,NA
19386,Peter Edward Richardson,4-Jul-31,Hereford,NA,Left-hand bat,Right-arm bowler,NA
18248,Alan Stanley Myles Oakman,20-Apr-30,"Hastings, Sussex",NA,Right-hand bat,Right-arm offbreak,NA
20237,Donald Victor Smith,14-Jun-23,"Broadwater, Sussex",NA,Left-hand bat,Left-arm medium,NA
19384,Derek Walter Richardson,3-Nov-34,Hereford,NA,Left-hand bat,Left-arm medium,NA
20255,Michael John Knight Smith,30-Jun-33,"Westcotes, Leicester",NA,Right-hand bat,DNB,NA
17037,Clement Arthur Milton,10-Mar-28,"Bedminster, Somerset",NA,Right-hand bat,Right-arm medium,NA
11886,Edward Ralph Dexter,15-May-35,"Milan, Italy",NA,Right-hand bat,Right-arm medium,NA
15385,Raymond Illingworth,8-Jun-32,"Pudsey, Yorkshire",NA,Right-hand bat,Right-arm offbreak,NA
20406,Raman Subba Row,29-Jan-32,"Streatham, London",NA,Left-hand bat,Legbreak googly,NA
20436,Roy Swetman,25-Oct-33,"Westminster, London",NA,Right-hand bat,Right-arm offbreak,Wicketkeeper
17111,John Brian Mortimore,14-May-33,"Southmead, Bristol",NA,Right-hand bat,Right-arm offbreak,NA
13446,Thomas Greenhough,9-Nov-31,"Cronkey Shaw, Rochdale, Lancashire",NA,Right-hand bat,Legbreak googly,NA
14273,Martin John Horton,21-Apr-34,Worcester,Allrounder,Right-hand bat,Right-arm offbreak,NA
21485,Kenneth Taylor,21-Aug-35,"Primrose Hill, Huddersfield, Yorkshire",NA,Right-hand bat,DNB,NA
18640,Geoffrey Pullar,1-Aug-35,"Swinton, Lancashire",NA,Left-hand bat,Legbreak,NA
19372,Harold James Rhodes,22-Jul-36,"Hadfield, Glossop, Derbyshire",NA,Right-hand bat,Right-arm fast,NA
8513,David Arthur Allen,29-Oct-35,"Horfield, Bristol, Gloucestershire",NA,Right-hand bat,Right-arm offbreak,NA
8982,Robert William Barber,26-Sep-35,"Withington, Manchester, Lancashire",NA,Left-hand bat,Legbreak googly,NA
22276,Peter Michael Walker,17-Feb-36,"Clifton, Bristol",NA,Right-hand bat,Left-arm bowler,NA
18393,Douglas Ernest Vernon Padgett,20-Jul-34,"Dirk Hill, Bradford, Yorkshire",NA,Right-hand bat,Right-arm medium,NA
17130,John Thomas Murray,1-Apr-35,"North Kensington, London",NA,Right-hand bat,Right-arm medium,Wicketkeeper
12848,John Alfred Flavell,15-May-29,"Wall Heath, Staffordshire",NA,Left-hand bat,Right-arm fast-medium,NA
9249,Alan Brown,17-Oct-35,"Rainworth, Nottinghamshire",NA,Right-hand bat,Right-arm fast-medium,NA
19503,William Eric Russell,3-Jul-36,"Dumbarton, Dunbartonshire, Scotland",NA,Right-hand bat,Right-arm medium,NA
22405,David William White,14-Dec-35,"Sutton Coldfield, Warwickshire",NA,Left-hand bat,Right-arm fast,NA
20236,David Robert Smith,5-Oct-34,"Fishponds, Bristol",NA,Right-hand bat,Right-arm medium,NA
15910,Barry Rolfe Knight,18-Feb-38,"Chesterfield, Derbyshire",NA,Right-hand bat,Right-arm fast-medium,NA
17032,Geoffrey Millman,2-Oct-34,Bedford,NA,Right-hand bat,Right-arm offbreak,Wicketkeeper
18411,Peter Howard Parfitt,8-Dec-36,"Billingford, Fakenham, Norfolk",NA,Left-hand bat,Right-arm offbreak,NA
10763,Leonard John Coldwell,10-Jan-33,"Newton Abbot, Devon",NA,Right-hand bat,Right-arm fast-medium,NA
20376,Michael James Stewart,16-Sep-32,"Herne Hill, London",NA,Right-hand bat,Right-arm medium,NA
16205,John David Frederick Larter,24-Apr-40,"Inverness, Scotland",NA,Right-hand bat,Right-arm fast-medium,NA
20222,Alan Christopher Smith,25-Oct-36,"Hall Green, Birmingham, Warwickshire",NA,Right-hand bat,Right-arm fast-medium,Wicketkeeper
12490,John Hugh Edrich,21-Jun-37,"Blofield, Norfolk",NA,Left-hand bat,Right-arm medium,NA
20126,Philip John Sharpe,27-Dec-36,"Shipley, Yorkshire",NA,Right-hand bat,Right-arm offbreak,NA
9142,John Brian Bolus,31-Jan-34,"Whitkirk, Leeds, Yorkshire",NA,Right-hand bat,Left-arm medium,NA
22469,Donald Wilson,7-Aug-37,"Settle, Yorkshire",NA,Left-hand bat,Slow left-arm orthodox,NA
9095,James Graham Binks,5-Oct-35,"Hull, Yorkshire",NA,Right-hand bat,Legbreak,Wicketkeeper
15547,Ivor Jeffrey Jones,10-Dec-41,"Dafen, Carmarthenshire, Wales",NA,Right-hand bat,Left-arm fast,NA
18616,John Sidney Ernest Price,22-Jul-37,"Harrow, Middlesex",NA,Left-hand bat,Right-arm fast-medium,NA
9187,Geoffrey Boycott,21-Oct-40,"Fitzwilliam, Yorkshire",NA,Right-hand bat,Right-arm medium,NA
13365,Norman Gifford,30-Mar-40,"Ulverston, Lancashire",NA,Left-hand bat,Slow left-arm orthodox,NA
10679,Thomas William Cartwright,22-Jul-35,NA,NA,Right-hand bat,Right-arm medium,NA
19494,Frederick Edward Rumsey,4-Dec-35,"Stepney, London",NA,Right-hand bat,Left-arm fast-medium,NA
21533,Norman Ian Thomson,23-Jan-29,"Palfrey, Walsall, Staffordshire",NA,Right-hand bat,Right-arm medium,NA
18405,Kenneth Ernest Palmer,22-Apr-37,"Winchester, Hampshire",NA,Right-hand bat,Right-arm fast-medium,NA
20282,John Augustine Snow,13-Oct-41,"Peopleton, Worcestershire",NA,Right-hand bat,Right-arm fast-medium,NA
9252,David John Brown,30-Jan-42,"Walsall, Staffordshire",NA,Right-hand bat,Right-arm fast-medium,NA
14189,Kenneth Higgs,14-Jan-37,"Kidsgrove, Staffordshire",NA,Left-hand bat,DNB,NA
17018,Colin Milburn,23-Oct-41,"Burnopfield, Co Durham",NA,Right-hand bat,Right-arm medium,NA
11914,NA,4-Oct-31,"Signal Hill, Cape Town, Cape Province, South Africa",NA,Right-hand bat,Right-arm medium,NA
22149,Derek Leslie Underwood,8-Jun-45,"Bromley, Kent",Bowler,Right-hand bat,Slow left-arm orthodox,NA
8535,Dennis Leslie Amiss,7-Apr-43,"Harborne, Birmingham, Warwickshire",NA,Right-hand bat,DNB,NA
14227,Robin Nicholas Stuart Hobbs,8-May-42,"Chippenham, Wiltshire",NA,Right-hand bat,Legbreak googly,NA
8566,Geoffrey Graham Arnold,3-Sep-44,"Earlsfield, Surrey",NA,Right-hand bat,Right-arm fast-medium,NA
15917,Alan Philip Eric Knott,9-Apr-46,"Belvedere, Kent",NA,Right-hand bat,Right-arm offbreak,Wicketkeeper
18557,Patrick Ian Pocock,24-Sep-46,"Bangor, Caernarvonshire, Wales",NA,Right-hand bat,Right-arm offbreak,NA
12854,Keith William Robert Fletcher,20-May-44,Worcester,NA,Right-hand bat,Legbreak,NA
18625,Roger Malcolm Prideaux,31-Jul-39,"Chelsea, London",NA,Right-hand bat,Right-arm medium,NA
10824,Robert Michael Henry Cottam,16-Oct-44,"Cleethorpes, Lincolnshire",NA,Right-hand bat,Right-arm fast-medium,NA
14024,John Harry Hampshire,10-Feb-41,"Thurnscoe, Yorkshire",NA,Right-hand bat,Legbreak,NA
22292,Alan Ward,10-Aug-47,"Dronfield, Derbyshire",NA,Right-hand bat,Right-arm fast,NA
11870,Michael Henry Denness,1-Dec-40,"Bellshill, Lanarkshire, Scotland",NA,Right-hand bat,DNB,NA
16370,Brian William Luckhurst,5-Feb-39,"Sittingbourne, Kent",NA,Right-hand bat,Slow left-arm orthodox,NA
20182,Kenneth Shuttleworth,13-Nov-44,"St Helens, Lancashire",NA,Right-hand bat,Right-arm fast,NA
16262,Peter Lever,17-Sep-40,"Todmorden, Yorkshire",NA,Right-hand bat,Right-arm fast-medium,NA
22462,Robert George Dylan Willis,30-May-49,"Sunderland, Co Durham",NA,Right-hand bat,Right-arm fast,NA
21494,Robert William Taylor,17-Jul-41,"Stoke-on-Trent, Staffordshire",NA,Right-hand bat,Right-arm medium,Wicketkeeper
14336,Richard Anthony Hutton,6-Sep-42,"Pudsey, Yorkshire",NA,Right-hand bat,Right-arm fast-medium,NA
15468,John Alexander Jameson,30-Jun-41,"Byculla, Bombay (now Mumbai), Maharashtra, India",NA,Right-hand bat,DNB,Wicketkeeper
13463,Anthony William Greig,6-Oct-46,"Queenstown, Cape Province, South Africa",NA,Right-hand bat,DNB,NA
22498,Barry Wood,26-Dec-42,"Ossett, Yorkshire",NA,Right-hand bat,Right-arm medium,NA
16271,Anthony Robert Lewis,6-Jul-38,"Uplands, Swansea, Glamorgan, Wales",NA,Right-hand bat,Legbreak,NA
18256,Christopher Middleton Old,22-Dec-48,"Middlesbrough, Yorkshire",NA,Left-hand bat,Right-arm fast-medium,NA
9103,Jack Birkenshaw,13-Nov-40,"Rothwell, Leeds, Yorkshire",NA,Left-hand bat,Right-arm offbreak,NA
19469,Graham Richard James Roope,12-Jul-46,"Fareham, Hampshire",NA,Right-hand bat,Right-arm medium,NA
14106,Frank Charles Hayes,6-Dec-46,"Preston, Lancashire",NA,Right-hand bat,Right-arm medium,NA
14159,Michael Hendrick,22-Oct-48,"Darley Dale, Derbyshire",NA,Right-hand bat,Right-arm fast-medium,NA
16318,David Lloyd,18-Mar-47,"Accrington, Lancashire",Allrounder,Left-hand bat,Slow left-arm orthodox,NA
13399,Graham Alan Gooch,23-Jul-53,"Whipps Cross, Leytonstone, Essex",Top-order batsman,Right-hand bat,Right-arm medium,NA
20345,David Stanley Steele,29-Sep-41,"Bradeley, Staffordshire",NA,Right-hand bat,Slow left-arm orthodox,NA
22520,Robert Andrew Woolmer,14-May-48,"Kanpur, Uttar Pradesh, India",NA,Right-hand bat,Right-arm medium,NA
12486,Philippe-Henri Edmonds,8-Mar-51,"Lusaka, Northern Rhodesia",NA,Right-hand bat,Slow left-arm orthodox,NA
9208,John Michael Brearley,28-Apr-42,"Harrow, Middlesex",NA,Right-hand bat,Right-arm medium,Wicketkeeper
20105,Michael Walter William Selvey,25-Apr-48,"Chiswick, Middlesex",NA,Right-hand bat,Right-arm fast-medium,NA
8962,John Christopher Balderstone,16-Nov-40,"Longwood, Huddersfield, Yorkshire",NA,Right-hand bat,Slow left-arm orthodox,NA
22442,Peter Willey,6-Dec-49,"Sedgefield, Co Durham",NA,Right-hand bat,Right-arm offbreak,NA
17025,Geoffrey Miller,8-Sep-52,"Chesterfield, Derbyshire",NA,Right-hand bat,Right-arm offbreak,NA
8990,Graham Derek Barlow,26-Mar-50,"Folkestone, Kent",NA,Left-hand bat,Right-arm medium,NA
16260,John Kenneth Lever,24-Feb-49,"Stepney, London",NA,Right-hand bat,Left-arm fast-medium,NA
19327,Derek William Randall,24-Feb-51,"Retford, Nottinghamshire",NA,Right-hand bat,Right-arm medium,NA
21550,Roger William Tolchard,15-Jun-46,"Torquay, Devon",NA,Right-hand bat,Right-arm offbreak,Wicketkeeper
9163,Ian Terence Botham,24-Nov-55,"Oldfield, Heswall, Cheshire",Allrounder,Right-hand bat,Right-arm fast-medium,NA
10809,Geoffrey Alan Cope,23-Feb-47,"Burmantofts, Leeds, Yorkshire",NA,Right-hand bat,Right-arm offbreak,NA
19478,Brian Charles Rose,4-Jun-50,"Dartford, Kent",NA,Left-hand bat,Left-arm medium,NA
13340,Michael William Gatting,6-Jun-57,"Kingsbury, Middlesex",NA,Right-hand bat,Right-arm medium,NA
19316,Clive Thornton Radley,13-May-44,Hertford,NA,Right-hand bat,Legbreak,NA
13418,David Ivon Gower,1-Apr-57,"Tunbridge Wells, Kent",Top-order batsman,Left-hand bat,Right-arm offbreak,NA
12514,John Ernest Emburey,20-Aug-52,"Peckham, London",NA,Right-hand bat,Right-arm offbreak,NA
8954,David Leslie Bairstow,1-Sep-51,"Horton, Bradford, Yorkshire",NA,Right-hand bat,Right-arm medium,Wicketkeeper
9323,Alan Raymond Butcher,7-Jan-54,"Croydon, Surrey",NA,Left-hand bat,DNB,NA
11893,Graham Roy Dilley,18-May-59,"Dartford, Kent",NA,Left-hand bat,Right-arm fast,NA
16203,Wayne Larkins,22-Nov-53,"Roxton, Bedfordshire",NA,Right-hand bat,Right-arm medium,NA
20363,Graham Barry Stevenson,16-Dec-55,"Ackworth, Yorkshire",NA,Right-hand bat,Right-arm medium,NA
21466,NA,27-Oct-54,"Orpington, Kent",NA,Right-hand bat,Right-arm offbreak,NA
8581,Charles William Jeffrey Athey,27-Sep-57,"Middlesbrough, Yorkshire",NA,Right-hand bat,Right-arm offbreak,NA
11931,Paul Rupert Downton,4-Apr-57,"Farnborough, Kent",NA,Right-hand bat,Right-arm offbreak,Wicketkeeper
9329,Roland Orlando Butcher,14-Oct-53,"East Point, St Philip, Barbados",NA,Right-hand bat,Legbreak,Wicketkeeper
15461,Robin David Jackman,13-Aug-45,"Simla, Punjab, India",NA,Right-hand bat,Right-arm fast-medium,NA
8526,Paul John Walter Allott,14-Sep-56,"Altrincham, Cheshire",NA,Right-hand bat,Right-arm fast-medium,NA
18423,Paul William Giles Parker,15-Jan-56,"Bulawayo, Rhodesia",NA,Right-hand bat,DNB,NA
10793,Geoffrey Cook,9-Oct-51,"Middlesbrough, Yorkshire",NA,Right-hand bat,Slow left-arm orthodox,NA
16178,Allan Joseph Lamb,20-Jun-54,"Langebaanweg, Cape Province, South Africa",Middle-order batsman,Right-hand bat,Right-arm medium,NA
18627,Derek Raymond Pringle,18-Sep-58,"Nairobi, Kenya",Bowler,Right-hand bat,Right-arm medium,NA
13464,Ian Alexander Greig,8-Dec-55,"Queenstown, Cape Province, South Africa",NA,Right-hand bat,Right-arm medium,NA
14152,Edward Ernest Hemmings,20-Feb-49,"Leamington Spa, Warwickshire",NA,Right-hand bat,Right-arm offbreak,NA
12884,Graeme Fowler,20-Apr-57,"Accrington, Lancashire",NA,Left-hand bat,Right-arm medium,Wicketkeeper
16899,Victor James Marks,25-Jun-55,"Middle Chinnock, Somerset",NA,Right-hand bat,Right-arm offbreak,NA
10839,Norman George Cowans,17-Apr-61,"Enfield, St Mary, Jamaica",NA,Right-hand bat,Right-arm fast,NA
10797,Nicholas Grant Billson Cook,17-Jun-56,Leicester,NA,Right-hand bat,Slow left-arm orthodox,NA
12879,Neil Alan Foster,6-May-62,"Colchester, Essex",NA,Right-hand bat,Right-arm fast-medium,NA
20233,Christopher Lyall Smith,15-Oct-58,"Durban, Natal, South Africa",NA,Right-hand bat,Right-arm offbreak,NA
18533,Anthony Charles Shackleton Pigott,4-Jun-58,"Fulham, London",NA,Right-hand bat,Right-arm fast-medium,NA
16322,Timothy Andrew Lloyd,5-Nov-56,"Oswestry, Shropshire",NA,Left-hand bat,Right-arm medium,NA
9230,Brian Christopher Broad,29-Sep-57,"Knowle, Somerset",NA,Left-hand bat,Right-arm medium,NA
21502,Vivian Paul Terry,14-Jan-59,"Osnabrück, West Germany",NA,Right-hand bat,Right-arm medium,NA
8501,Jonathan Philip Agnew,4-Apr-60,"Macclesfield, Cheshire",NA,Right-hand bat,Right-arm fast,NA
12507,Richard Mark Ellison,21-Sep-59,"Willesborough, Ashford, Kent",NA,Left-hand bat,Right-arm medium-fast,NA
10843,Christopher Stuart Cowdrey,20-Oct-57,"Farnborough, Kent",NA,Right-hand bat,DNB,NA
19445,Robert Timothy Robinson,21-Nov-58,"Skegby, Sutton-in-Ashfield, Nottinghamshire",NA,Right-hand bat,Right-arm medium,NA
20185,Arnold Sidebottom,1-Apr-54,"Shawlands, Barnsley, Yorkshire",NA,Right-hand bat,Right-arm fast-medium,NA
21486,Leslie Brian Taylor,25-Oct-53,"Earl Shilton, Leicestershire",NA,Right-hand bat,Right-arm fast-medium,NA
20235,David Mark Smith,9-Jan-56,"Balham, London",NA,Left-hand bat,Right-arm medium,NA
21512,John Gregory Thomas,12-Aug-60,"Trebanos, Glamorgan, Wales",NA,Right-hand bat,Right-arm fast,NA
20206,Wilfred Norris Slack,12-Dec-54,"Troumaca, St Vincent",NA,Left-hand bat,Right-arm medium,NA
12923,Bruce Nicholas French,13-Aug-59,"Warsop, Nottinghamshire",NA,Right-hand bat,DNB,Wicketkeeper
9074,Mark Richard Benson,6-Jul-58,"Shoreham-by-Sea, Sussex",NA,Left-hand bat,Right-arm offbreak,NA
19314,Neal Victor Radford,7-Jun-57,"Luanshya, Northern Rhodesia",NA,Right-hand bat,Right-arm fast-medium,NA
17119,Martyn Douglas Moxon,4-May-60,"Stairfoot, Barnsley, Yorkshire",NA,Right-hand bat,Right-arm medium,NA
20217,Gladstone Cleophas Small,18-Oct-61,"Brighton, St George, Barbados",NA,Right-hand bat,Right-arm fast-medium,NA
11865,Phillip Anthony Jason DeFreitas,18-Feb-66,"Scotts Head, Dominica",Bowler,Right-hand bat,Right-arm fast-medium,NA
19394,Clifton James Richards,10-Aug-58,"Penzance, Cornwall",NA,Right-hand bat,Right-arm medium,Wicketkeeper
22392,John James Whitaker,5-May-62,"Skipton, Yorkshire",NA,Right-hand bat,Right-arm offbreak,NA
12803,Neil Harvey Fairbrother,9-Sep-63,"Warrington, Lancashire",Middle-order batsman,Left-hand bat,Left-arm medium,NA
10653,David John Capel,6-Feb-63,Northampton,NA,Right-hand bat,Right-arm medium-fast,NA
15485,Paul William Jarvis,29-Jun-65,"Redcar, Yorkshire",NA,Right-hand bat,Right-arm fast-medium,NA
10721,John Henry Childs,15-Aug-51,"Lipson, Plymouth, Devon",NA,Left-hand bat,DNB,NA
10897,Timothy Stephen Curtis,15-Jan-60,"Chislehurst, Kent",NA,Right-hand bat,Legbreak,NA
20263,Robin Arnold Smith,13-Sep-63,"Durban, Natal, South Africa",NA,Right-hand bat,Legbreak,NA
8942,Robert John Bailey,28-Oct-63,"Biddulph, Staffordshire",NA,Right-hand bat,Right-arm offbreak,NA
16951,Matthew Peter Maynard,21-Mar-66,"Oldham, Lancashire",NA,Right-hand bat,Right-arm medium,Wicketkeeper
9002,Kim John Barnett,17-Jul-60,"Stoke-on-Trent, Staffordshire",NA,Right-hand bat,Legbreak,NA
16219,David Valentine Lawrence,28-Jan-64,Gloucester,NA,Right-hand bat,Right-arm fast,NA
18012,Philip John Newport,11-Oct-62,"High Wycombe, Buckinghamshire",NA,Right-hand bat,Right-arm fast-medium,NA
19500,Robert Charles Russell,15-Aug-63,"Stroud, Gloucestershire",NA,Left-hand bat,Right-arm offbreak,Wicketkeeper
12909,Angus Robert Charles Fraser,8-Aug-65,"Billinge, Lancashire",NA,Right-hand bat,Right-arm fast-medium,NA
8579,Michael Andrew Atherton,23-Mar-68,"Failsworth, Manchester, Lancashire",Opening batsman,Right-hand bat,Legbreak,NA
